time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445550000	13.4654	2.46228	5.0523	0.417196	0.266835	radar	2019.82	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7146	2.57968	5.08265	0.43401	0.270608	lidar	7538.28	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9345	2.69218	5.06118	0.451604	0.276556	radar	2308.12	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.163	2.84636	5.08657	0.483323	0.2972	lidar	8004.38	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4125	2.95587	5.154	0.486033	0.278234	radar	2564.17	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.619	3.03097	5.10157	0.48335	0.259528	lidar	8266.34	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8501	3.18291	5.16145	0.506042	0.267455	radar	2707.29	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0577	3.37491	5.18427	0.5495	0.302204	lidar	9046.02	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2692	3.53998	5.16904	0.580377	0.323614	radar	2906.31	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4828	3.72788	5.19968	0.61484	0.34443	lidar	9711.02	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6943	3.8623	5.18544	0.625254	0.33699	radar	2944.23	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9158	4.00703	5.19292	0.636172	0.330033	lidar	10299.7	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1115	4.17	5.14523	0.663015	0.348276	radar	3211.88	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3091	4.36497	5.17088	0.694573	0.36423	lidar	10874.7	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5191	4.52896	5.18797	0.70787	0.35737	radar	3407.28	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6975	4.69771	5.16914	0.728917	0.361281	lidar	11288.9	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.851	4.8898	5.07451	0.773541	0.405749	radar	3499.42	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
